code,name,parent_code,level,aliases
T43.8X,"Poisoning by, adverse effect of and underdosing of other psychotropic drugs",T43.8,5,
T43.8X1,"Poisoning by other psychotropic drugs, accidental (unintentional)",T43.8X,6,Poisoning by other psychotropic drugs NOS
T43.8X2,"Poisoning by other psychotropic drugs, intentional self-harm",T43.8X,6,
T43.8X3,"Poisoning by other psychotropic drugs, assault",T43.8X,6,
T43.8X4,"Poisoning by other psychotropic drugs, undetermined",T43.8X,6,
T43.8X5,Adverse effect of other psychotropic drugs,T43.8X,6,
T43.8X6,Underdosing of other psychotropic drugs,T43.8X,6,
T43.9,"Poisoning by, adverse effect of and underdosing of unspecified psychotropic drug",T43,4,
T43.91,"Poisoning by unspecified psychotropic drug, accidental (unintentional)",T43.9,5,Poisoning by psychotropic drug NOS
T43.92,"Poisoning by unspecified psychotropic drug, intentional self-harm",T43.9,5,
T43.93,"Poisoning by unspecified psychotropic drug, assault",T43.9,5,
T43.94,"Poisoning by unspecified psychotropic drug, undetermined",T43.9,5,
T43.95,Adverse effect of unspecified psychotropic drug,T43.9,5,
T43.96,Underdosing of unspecified psychotropic drug,T43.9,5,
T44,"Poisoning by, adverse effect of and underdosing of drugs primarily affecting the autonomic nervous system",SECTION_T36-T50,3,
T44.0,"Poisoning by, adverse effect of and underdosing of anticholinesterase agents",T44,4,
T44.0X,"Poisoning by, adverse effect of and underdosing of anticholinesterase agents",T44.0,5,
T44.0X1,"Poisoning by anticholinesterase agents, accidental (unintentional)",T44.0X,6,Poisoning by anticholinesterase agents NOS
T44.0X2,"Poisoning by anticholinesterase agents, intentional self-harm",T44.0X,6,
T44.0X3,"Poisoning by anticholinesterase agents, assault",T44.0X,6,
T44.0X4,"Poisoning by anticholinesterase agents, undetermined",T44.0X,6,
T44.0X5,Adverse effect of anticholinesterase agents,T44.0X,6,
T44.0X6,Underdosing of anticholinesterase agents,T44.0X,6,
T44.1,"Poisoning by, adverse effect of and underdosing of other parasympathomimetics [cholinergics]",T44,4,
T44.1X,"Poisoning by, adverse effect of and underdosing of other parasympathomimetics [cholinergics]",T44.1,5,
T44.1X1,"Poisoning by other parasympathomimetics [cholinergics], accidental (unintentional)",T44.1X,6,Poisoning by other parasympathomimetics [cholinergics] NOS
T44.1X2,"Poisoning by other parasympathomimetics [cholinergics], intentional self-harm",T44.1X,6,
T44.1X3,"Poisoning by other parasympathomimetics [cholinergics], assault",T44.1X,6,
T44.1X4,"Poisoning by other parasympathomimetics [cholinergics], undetermined",T44.1X,6,
T44.1X5,Adverse effect of other parasympathomimetics [cholinergics],T44.1X,6,
T44.1X6,Underdosing of other parasympathomimetics [cholinergics],T44.1X,6,
T44.2,"Poisoning by, adverse effect of and underdosing of ganglionic blocking drugs",T44,4,
T44.2X,"Poisoning by, adverse effect of and underdosing of ganglionic blocking drugs",T44.2,5,
T44.2X1,"Poisoning by ganglionic blocking drugs, accidental (unintentional)",T44.2X,6,Poisoning by ganglionic blocking drugs NOS
T44.2X2,"Poisoning by ganglionic blocking drugs, intentional self-harm",T44.2X,6,
T44.2X3,"Poisoning by ganglionic blocking drugs, assault",T44.2X,6,
T44.2X4,"Poisoning by ganglionic blocking drugs, undetermined",T44.2X,6,
T44.2X5,Adverse effect of ganglionic blocking drugs,T44.2X,6,
T44.2X6,Underdosing of ganglionic blocking drugs,T44.2X,6,
T44.3,"Poisoning by, adverse effect of and underdosing of other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics",T44,4,"Poisoning by, adverse effect of and underdosing of papaverine"
T44.3X,"Poisoning by, adverse effect of and underdosing of other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics",T44.3,5,
T44.3X1,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, accidental (unintentional)",T44.3X,6,Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics NOS
T44.3X2,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, intentional self-harm",T44.3X,6,
T44.3X3,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, assault",T44.3X,6,
T44.3X4,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, undetermined",T44.3X,6,
T44.3X5,Adverse effect of other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics,T44.3X,6,
T44.3X6,Underdosing of other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics,T44.3X,6,
T44.4,"Poisoning by, adverse effect of and underdosing of predominantly alpha-adrenoreceptor agonists",T44,4,"Poisoning by, adverse effect of and underdosing of metaraminol"
T44.4X,"Poisoning by, adverse effect of and underdosing of predominantly alpha-adrenoreceptor agonists",T44.4,5,
T44.4X1,"Poisoning by predominantly alpha-adrenoreceptor agonists, accidental (unintentional)",T44.4X,6,Poisoning by predominantly alpha-adrenoreceptor agonists NOS
T44.4X2,"Poisoning by predominantly alpha-adrenoreceptor agonists, intentional self-harm",T44.4X,6,
T44.4X3,"Poisoning by predominantly alpha-adrenoreceptor agonists, assault",T44.4X,6,
T44.4X4,"Poisoning by predominantly alpha-adrenoreceptor agonists, undetermined",T44.4X,6,
T44.4X5,Adverse effect of predominantly alpha-adrenoreceptor agonists,T44.4X,6,
T44.4X6,Underdosing of predominantly alpha-adrenoreceptor agonists,T44.4X,6,
T44.5,"Poisoning by, adverse effect of and underdosing of predominantly beta-adrenoreceptor agonists",T44,4,
T44.5X,"Poisoning by, adverse effect of and underdosing of predominantly beta-adrenoreceptor agonists",T44.5,5,
T44.5X1,"Poisoning by predominantly beta-adrenoreceptor agonists, accidental (unintentional)",T44.5X,6,Poisoning by predominantly beta-adrenoreceptor agonists NOS
T44.5X2,"Poisoning by predominantly beta-adrenoreceptor agonists, intentional self-harm",T44.5X,6,
T44.5X3,"Poisoning by predominantly beta-adrenoreceptor agonists, assault",T44.5X,6,
T44.5X4,"Poisoning by predominantly beta-adrenoreceptor agonists, undetermined",T44.5X,6,
T44.5X5,Adverse effect of predominantly beta-adrenoreceptor agonists,T44.5X,6,
T44.5X6,Underdosing of predominantly beta-adrenoreceptor agonists,T44.5X,6,
T44.6,"Poisoning by, adverse effect of and underdosing of alpha-adrenoreceptor antagonists",T44,4,
T44.6X,"Poisoning by, adverse effect of and underdosing of alpha-adrenoreceptor antagonists",T44.6,5,
T44.6X1,"Poisoning by alpha-adrenoreceptor antagonists, accidental (unintentional)",T44.6X,6,Poisoning by alpha-adrenoreceptor antagonists NOS
T44.6X2,"Poisoning by alpha-adrenoreceptor antagonists, intentional self-harm",T44.6X,6,
T44.6X3,"Poisoning by alpha-adrenoreceptor antagonists, assault",T44.6X,6,
T44.6X4,"Poisoning by alpha-adrenoreceptor antagonists, undetermined",T44.6X,6,
T44.6X5,Adverse effect of alpha-adrenoreceptor antagonists,T44.6X,6,
T44.6X6,Underdosing of alpha-adrenoreceptor antagonists,T44.6X,6,
T44.7,"Poisoning by, adverse effect of and underdosing of beta-adrenoreceptor antagonists",T44,4,
T44.7X,"Poisoning by, adverse effect of and underdosing of beta-adrenoreceptor antagonists",T44.7,5,
T44.7X1,"Poisoning by beta-adrenoreceptor antagonists, accidental (unintentional)",T44.7X,6,Poisoning by beta-adrenoreceptor antagonists NOS
T44.7X2,"Poisoning by beta-adrenoreceptor antagonists, intentional self-harm",T44.7X,6,
T44.7X3,"Poisoning by beta-adrenoreceptor antagonists, assault",T44.7X,6,
T44.7X4,"Poisoning by beta-adrenoreceptor antagonists, undetermined",T44.7X,6,
T44.7X5,Adverse effect of beta-adrenoreceptor antagonists,T44.7X,6,
T44.7X6,Underdosing of beta-adrenoreceptor antagonists,T44.7X,6,
T44.8,"Poisoning by, adverse effect of and underdosing of centrally-acting and adrenergic-neuron- blocking agents",T44,4,
T44.8X,"Poisoning by, adverse effect of and underdosing of centrally-acting and adrenergic- neuron-blocking agents",T44.8,5,
T44.8X1,"Poisoning by centrally-acting and adrenergic-neuron-blocking agents, accidental (unintentional)",T44.8X,6,Poisoning by centrally-acting and adrenergic-neuron-blocking agents NOS
T44.8X2,"Poisoning by centrally-acting and adrenergic-neuron-blocking agents, intentional self-harm",T44.8X,6,
T44.8X3,"Poisoning by centrally-acting and adrenergic-neuron-blocking agents, assault",T44.8X,6,
T44.8X4,"Poisoning by centrally-acting and adrenergic-neuron-blocking agents, undetermined",T44.8X,6,
T44.8X5,Adverse effect of centrally-acting and adrenergic-neuron-blocking agents,T44.8X,6,
T44.8X6,Underdosing of centrally-acting and adrenergic-neuron-blocking agents,T44.8X,6,
T44.9,"Poisoning by, adverse effect of and underdosing of other and unspecified drugs primarily affecting the autonomic nervous system",T44,4,"Poisoning by, adverse effect of and underdosing of drug stimulating both alpha and beta-adrenoreceptors"
T44.90,"Poisoning by, adverse effect of and underdosing of unspecified drugs primarily affecting the autonomic nervous system",T44.9,5,
T44.901,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, accidental (unintentional)",T44.90,6,Poisoning by unspecified drugs primarily affecting the autonomic nervous system NOS
T44.902,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, intentional self-harm",T44.90,6,
T44.903,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, assault",T44.90,6,
T44.904,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, undetermined",T44.90,6,
T44.905,Adverse effect of unspecified drugs primarily affecting the autonomic nervous system,T44.90,6,
T44.906,Underdosing of unspecified drugs primarily affecting the autonomic nervous system,T44.90,6,
T44.99,"Poisoning by, adverse effect of and underdosing of other drugs primarily affecting the autonomic nervous system",T44.9,5,
T44.991,"Poisoning by other drug primarily affecting the autonomic nervous system, accidental (unintentional)",T44.99,6,Poisoning by other drugs primarily affecting the autonomic nervous system NOS
T44.992,"Poisoning by other drug primarily affecting the autonomic nervous system, intentional self-harm",T44.99,6,
T44.993,"Poisoning by other drug primarily affecting the autonomic nervous system, assault",T44.99,6,
T44.994,"Poisoning by other drug primarily affecting the autonomic nervous system, undetermined",T44.99,6,
T44.995,Adverse effect of other drug primarily affecting the autonomic nervous system,T44.99,6,
T44.996,Underdosing of other drug primarily affecting the autonomic nervous system,T44.99,6,
T45,"Poisoning by, adverse effect of and underdosing of primarily systemic and hematological agents, not elsewhere classified",SECTION_T36-T50,3,
T45.0,"Poisoning by, adverse effect of and underdosing of antiallergic and antiemetic drugs",T45,4,
T45.0X,"Poisoning by, adverse effect of and underdosing of antiallergic and antiemetic drugs",T45.0,5,
T45.0X1,"Poisoning by antiallergic and antiemetic drugs, accidental (unintentional)",T45.0X,6,Poisoning by antiallergic and antiemetic drugs NOS
T45.0X2,"Poisoning by antiallergic and antiemetic drugs, intentional self-harm",T45.0X,6,
T45.0X3,"Poisoning by antiallergic and antiemetic drugs, assault",T45.0X,6,
T45.0X4,"Poisoning by antiallergic and antiemetic drugs, undetermined",T45.0X,6,
T45.0X5,Adverse effect of antiallergic and antiemetic drugs,T45.0X,6,
T45.0X6,Underdosing of antiallergic and antiemetic drugs,T45.0X,6,
T45.1,"Poisoning by, adverse effect of and underdosing of antineoplastic and immunosuppressive drugs",T45,4,
T45.1X,"Poisoning by, adverse effect of and underdosing of antineoplastic and immunosuppressive drugs",T45.1,5,
T45.1X1,"Poisoning by antineoplastic and immunosuppressive drugs, accidental (unintentional)",T45.1X,6,Poisoning by antineoplastic and immunosuppressive drugs NOS
T45.1X2,"Poisoning by antineoplastic and immunosuppressive drugs, intentional self-harm",T45.1X,6,
T45.1X3,"Poisoning by antineoplastic and immunosuppressive drugs, assault",T45.1X,6,
T45.1X4,"Poisoning by antineoplastic and immunosuppressive drugs, undetermined",T45.1X,6,
T45.1X5,Adverse effect of antineoplastic and immunosuppressive drugs,T45.1X,6,
T45.1X6,Underdosing of antineoplastic and immunosuppressive drugs,T45.1X,6,
T45.2,"Poisoning by, adverse effect of and underdosing of vitamins",T45,4,
T45.2X,"Poisoning by, adverse effect of and underdosing of vitamins",T45.2,5,
T45.2X1,"Poisoning by vitamins, accidental (unintentional)",T45.2X,6,Poisoning by vitamins NOS
T45.2X2,"Poisoning by vitamins, intentional self-harm",T45.2X,6,
T45.2X3,"Poisoning by vitamins, assault",T45.2X,6,
T45.2X4,"Poisoning by vitamins, undetermined",T45.2X,6,
T45.2X5,Adverse effect of vitamins,T45.2X,6,
T45.2X6,Underdosing of vitamins,T45.2X,6,
T45.3,"Poisoning by, adverse effect of and underdosing of enzymes",T45,4,
T45.3X,"Poisoning by, adverse effect of and underdosing of enzymes",T45.3,5,
T45.3X1,"Poisoning by enzymes, accidental (unintentional)",T45.3X,6,Poisoning by enzymes NOS
T45.3X2,"Poisoning by enzymes, intentional self-harm",T45.3X,6,
T45.3X3,"Poisoning by enzymes, assault",T45.3X,6,
T45.3X4,"Poisoning by enzymes, undetermined",T45.3X,6,
T45.3X5,Adverse effect of enzymes,T45.3X,6,
T45.3X6,Underdosing of enzymes,T45.3X,6,
T45.4,"Poisoning by, adverse effect of and underdosing of iron and its compounds",T45,4,
T45.4X,"Poisoning by, adverse effect of and underdosing of iron and its compounds",T45.4,5,
T45.4X1,"Poisoning by iron and its compounds, accidental (unintentional)",T45.4X,6,Poisoning by iron and its compounds NOS
T45.4X2,"Poisoning by iron and its compounds, intentional self-harm",T45.4X,6,
